"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"TDS (Section 194-O): Tax Deducted at Source under Section 194-O of Income tax Act, 1961"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","Sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","product sales","shipping credits","gift wrap credits","promotional rebates","Total sales tax liable(GST before adjusting TCS)","TCS-CGST","TCS-SGST","TCS-IGST","TDS (Section 194-O)","selling fees","fba fees","other transaction fees","other","total"
"30 Jun 2025 8:53:08 pm UTC","25087279652","Order","405-1039475-1645952","Sink Organizer FC","Home Elem Stainless Steel Sink & Washroom Organizer with Drain Tray - Kitchen Sink Organiser, Soap Stand, Adhesive Wall Mount, Sponge Holder, kitchen","2","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","LUCKNOW","UTTAR PRADESH","226021","1,373.22","0","0","-68.66","156.54","0","0","-6.52","-1.31","-206.90","-184.08","-59.00","0","1,003.29"
"30 Jun 2025 9:40:50 pm UTC","25087279652","Order","171-3472830-3771538","Sink Organizer FC","Home Elem Stainless Steel Sink & Washroom Organizer with Drain Tray - Kitchen Sink Organiser, Soap Stand, Adhesive Wall Mount, Sponge Holder, kitchen","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","KALLELIBHAGOM","KERALA","690546","686.61","0","0","0","82.39","0","0","-3.43","-0.69","-108.90","-83.78","-29.50","0","542.70"
"30 Jun 2025 10:34:42 pm UTC","25087465792","Transfer","","","To account ending with: 354","","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-9,288.29","-9,288.29"
"30 Jun 2025 10:38:59 pm UTC","25087279652","Transfer","","","To account ending with: 354","","","Electronic Transactions (Credit Card/Net Banking/GC)","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-51,500.24","-51,500.24"
"30 Jun 2025 11:12:44 pm UTC","25087465792","Order","405-6847870-6491559","Sink Organizer FC","Home Elem Stainless Steel Sink & Washroom Organizer with Drain Tray - Kitchen Sink Organiser, Soap Stand, Adhesive Wall Mount, Sponge Holder, kitchen","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon","Karaikudi","TAMIL NADU","630003","686.61","0","0","0","82.39","0","0","-3.43","-0.69","-108.90","-83.78","-29.50","0","542.70"
"30 Jun 2025 11:19:42 pm UTC","25087279652","Order","408-3728699-1289955","Large Cube Sink Organizer FC","Home Elem kitchen sink organiser wall mounted|Stainless Steel Sink & Washroom Organizer with Drain Tray|Kitchen Sink Organiser, Soap Stand, Adhesive W","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","Ahmedabad","GUJARAT","380009","891.96","35.71","0","-35.71","107.04","0","0","-4.46","-0.90","-141.46","-164.02","-29.50","0","658.66"
"1 Jul 2025 5:01:49 am UTC","25087279652","Order","403-4679181-0875539","Sink Organizer FC","Home Elem Stainless Steel Sink & Washroom Organizer with Drain Tray - Kitchen Sink Organiser, Soap Stand, Adhesive Wall Mount, Sponge Holder, kitchen","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon","PUNE","MAHARASHTRA","411052","686.61","0","0","0","82.39","0","0","-3.43","-0.70","-108.89","-120.36","-29.50","0","506.12"
"1 Jul 2025 6:47:07 am UTC","25087465792","FBA Inventory Fee","250626WVP","","FBA Removal Order: Return Fee","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 Jul 2025 6:47:07 am UTC","25087465792","FBA Inventory Fee","250626WVP","","FBA Removal Order: Return Fee","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-94.40","-94.40"
"1 Jul 2025 6:47:19 am UTC","25087465792","FBA Inventory Fee","250626WVP","","FBA Removal Order: Return Fee","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 Jul 2025 6:47:22 am UTC","25087465792","FBA Inventory Fee","250626WVP","","FBA Removal Order: Return Fee","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1 Jul 2025 6:47:33 am UTC","25087465792","FBA Inventory Fee","250626WVP","","FBA Removal Order: Return Fee","","Amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-141.60","-141.60"
